id,model,score
9508,BERT,-1.2822538824631573
452,PG,-0.2702220105452377
2677,BERT,0.3087890740161801
6318,BERT,0.9390132786395546
8162,PG,0.678807207104259
2211,BERT,0.19283650785178275
1159,PG,0.41753629714062485
9508,PG,0.19283650785178275
4105,PG,-0.22113847971251432
3795,BERT,1.3875215329514383
15654,PG,-0.4812628600147435
15620,PG,0.8283792400893338
12466,BERT,0.19283650785178275
9763,PG,-1.2283259330338352
6618,PG,-0.3164929835781379
12466,PG,-1.2822538824631573
1179,BERT,-0.2565630707259014
119,BERT,0.6681292733990812
2766,PG,0.09396860056469221
14580,PG,-0.3065269106595147
6306,PG,0.343207180611542
6779,BERT,-1.2103499498907277
15464,PG,0.6875289781152976
5804,BERT,0.451930956978929
4203,PG,-0.4924681470858879
13758,BERT,-1.1833859751760667
1404,PG,0.5514648464481295
9636,PG,0.13717773781201203
12592,PG,1.137015313774251
3193,BERT,-0.5671268821271409
15063,PG,-0.32450289380262204
12799,PG,-0.681510615626847
3316,PG,0.750340620780833
6863,PG,1.099373405354412
5616,PG,-1.1833859751760667
13512,BERT,1.1450252239987349
4802,PG,1.0289799514363605
5590,PG,-0.9317222111725636
9763,BERT,-1.2822538824631573
13512,PG,-0.32203550159821964
123,BERT,-0.7068519110560384
4544,PG,-0.14976704614410888
15368,BERT,-0.6501446496126836
9960,PG,-0.9425866742097679
1167,PG,1.4404156712672265
3496,BERT,1.0871300178089338
7422,BERT,-0.16142545907540992
10271,PG,-0.07228710157139767
11464,BERT,1.7793001306364633
11638,PG,-0.4500966439026249
6384,PG,0.2601964177181019
11464,PG,-0.1582679678238524
1253,BERT,-0.44398039720410964
13836,BERT,1.7183409957791052
706,BERT,2.475765981253773
7349,PG,0.7275294792276167
10842,BERT,0.09983409868552927
1960,BERT,0.21644298533469086
9582,BERT,-0.02168626981341243
14524,PG,-0.4851995038674206
13341,PG,-0.4980747968221997
6701,BERT,-0.9425866742097679
13341,BERT,-0.9425866742097679
15671,PG,-0.8010467074454173
4584,BERT,0.3400414032457502
1394,BERT,0.4162848337686922
11865,BERT,-0.5296840889268906
13450,BERT,-0.41619102993501605
14634,BERT,1.0661904454561024
9297,PG,-0.5671127217940409
2366,PG,1.4119812062787869
5915,PG,0.06692709229059828
8426,PG,-0.9425866742097679
15273,BERT,0.06710609668881622
6343,BERT,-0.8840982692903511
6779,PG,-0.3042019398895298
5616,BERT,-0.34309527365048603
10486,BERT,-0.8066281417307853
3770,BERT,-0.2707256499686809
15368,PG,-0.8070605315135714
6517,PG,-0.6153393252707211
8315,BERT,0.16787705696323588
1253,PG,-0.6097469058428479
513,BERT,0.4641480033638354
11839,PG,1.1377647224509333
9704,BERT,0.04933768760084112
3316,BERT,0.6139230757744043
14524,BERT,0.679810217782729
15464,BERT,-0.9723861000842554
7266,PG,-0.1941650979942713
7422,PG,0.4961360604638747
1617,PG,-0.7755822872965913
6384,BERT,-0.4780300359273502
459,PG,-0.17891727835982954
8315,PG,-0.35159333989719393
6306,BERT,-0.3701286717196206
2139,BERT,2.368249548357245
11471,PG,-0.4459316378876244
10271,BERT,1.1204505602402808
1394,PG,1.0567417177544554
15238,PG,-0.3648253832954338
13576,PG,-0.9723861000842554
5804,PG,0.6129635853651533
1263,PG,0.06927821085358254
14015,PG,-0.8998885288885412
12309,BERT,-0.045634309734321865
10074,PG,-0.34725911089911693
6319,BERT,-0.35189203991773893
1661,PG,-0.4043344096587072
12799,BERT,-0.3548306465023597
4802,BERT,-0.08453275129170822
13851,PG,0.3931157589553034
11396,BERT,0.0777395324923506
2093,PG,-0.6453251516565454
14635,BERT,-0.06710824814136938
8861,PG,0.5187072820210231
7519,PG,-0.9366975133308714
15063,BERT,-0.47984824482302463
15542,BERT,-0.8054167754195788
11865,PG,-0.5806974553274292
513,PG,0.2451410126561039
2766,BERT,1.6001885276023484
2935,BERT,-0.9538507682618288
12309,PG,-0.4401102228129321
3795,PG,2.0045269772449132
9430,PG,-0.8577352586988741
4105,BERT,-0.6211267257487054
1404,BERT,-0.3871467429782576
10240,BERT,0.27461041400613045
6884,BERT,-0.570988158012181
1167,BERT,-0.6211267257487054
6884,PG,0.5823487558144561
10486,PG,-0.6211267257487054
13453,PG,-0.6044138698365306
4213,BERT,-0.4354162329928705
8162,BERT,-0.5542753021000061
14580,BERT,2.3999943771417467
1661,BERT,-0.6211267257487054
123,PG,-0.6211267257487054
15750,BERT,-0.6211267257487054
874,PG,-0.3537210311539078
6517,BERT,1.3711877221358382
4213,PG,-0.5041367343634815
11974,BERT,0.06314367677457311
3496,PG,-0.6211267257487054
7519,BERT,-0.6211267257487054
4550,BERT,-0.5208495902756564
12456,PG,0.40440873090773866
3436,BERT,1.883588284190652
1159,BERT,-0.6211267257487054
6618,BERT,0.6026802446936479
4584,PG,-0.5877010139243558
7131,BERT,0.3695788955449158
13767,PG,-0.6211267257487054
5791,BERT,-0.6211267257487054
3033,PG,0.4165174795570719
9704,PG,-0.6211267257487054
1263,BERT,-0.23103306854607716
12558,BERT,-0.14189275959848147
11839,BERT,1.4887334057613726
15654,BERT,1.3981099155656687
11471,BERT,-0.6044138698365306
2215,PG,-0.5542753021000061
