id,model,score
000551,BERT,-0.8319093309325973
000652,BERT,-0.2176639806585834
000470,PG,2.655673835187397
000123,PG,-0.4218363307651229
000089,PG,-1.2134239800390871
000668,PG,0.08656203015295282
000631,BERT,-0.5621317160382688
000678,PG,-0.9432642744850758
000169,PG,-0.5738653920270824
000381,BERT,0.13643917585184398
000280,BERT,0.995474673401818
000631,PG,-0.5311493399995902
000656,PG,0.23965735782776085
000281,PG,-1.1821770991466938
000509,BERT,-0.43089691495067745
000369,PG,-0.12914523159848412
000002,BERT,0.7074240263627868
000579,BERT,1.0250192853094517
000633,PG,-0.2884662810655657
000409,BERT,1.8370225060094276
000039,BERT,0.5719408702628827
000297,PG,1.143743506846983
000187,BERT,-1.2134239800390871
000427,BERT,0.5391395957621224
000219,PG,0.41412236910799854
000582,BERT,-0.8474535372198545
000195,BERT,-1.2134239800390871
000633,BERT,-0.4676544658258795
000628,BERT,0.9387942531791973
000290,PG,-0.27388230465532154
000293,PG,-0.3075692350394324
000469,BERT,1.701370288650158
000123,BERT,-0.012068131477400046
000630,PG,-0.77911944657462
000440,BERT,-0.0735735031151434
000076,BERT,-0.12452021749902605
000285,PG,1.0786921097645108
000437,BERT,0.14447506226151882
000590,BERT,0.7521245488324126
000070,PG,-0.2421881595855188
000639,BERT,-1.3273715807034143
000568,PG,-1.3908504399346764
000077,BERT,0.8271330937820188
000440,PG,0.917369236885043
000364,PG,-0.9102148643979228
000536,PG,-0.5626985726043027
000401,BERT,-1.3908504399346764
000369,BERT,1.2313988212758045
000409,PG,-0.7056260728943219
000119,PG,0.13198175910061138
000500,BERT,-0.38284180478239377
000122,BERT,0.2340736529746511
000305,BERT,-0.5791246415072618
000187,PG,-1.2874191166363038
000717,PG,-1.3908504399346764
000298,PG,0.16912229768889053
000252,BERT,0.5923146925639702
000186,BERT,1.2212641614623616
000516,BERT,-0.9355886154445541
000656,BERT,1.9724306623656283
000652,PG,0.24454980586727607
000355,BERT,-0.8149965755510298
000511,PG,-1.3471623613719217
000512,BERT,0.5713516279755763
000424,BERT,0.5933682253896895
000094,BERT,-0.8033632328534335
000536,BERT,-0.671928094435074
000343,BERT,0.3323635770693342
000070,BERT,0.8831482600038779
000669,BERT,2.025329711725013
000003,PG,-0.5436015368973034
000427,PG,1.012587525731936
000337,BERT,-0.6531833106104008
000298,BERT,1.0425796775603393
000470,BERT,2.025329711725013
000343,PG,-0.11754162006282372
000636,PG,-0.8668420920846954
000579,PG,0.23844741595123473
000346,PG,-0.5705407043256865
000046,PG,0.6265356694451353
000033,PG,1.1808554324709322
000497,PG,0.6265356694451353
000707,PG,0.2952490460786864
000039,PG,-0.43780649066602556
000455,BERT,1.0328322543960522
000407,PG,0.9807085348767375
000365,PG,-1.0414039062373368
000104,BERT,0.3982544071701555
000169,BERT,0.40184941142281866
000516,PG,-0.464218263056105
000437,PG,0.5634851504852777
000619,BERT,-0.8262066402299378
000607,PG,-0.8661356979256722
000279,BERT,-0.06353076450926627
000152,BERT,0.17407306162551114
000153,BERT,0.472410747390367
000367,BERT,0.3962042840631462
000444,BERT,1.547777211849768
000493,BERT,1.6052543239217731
000501,BERT,-0.9845955284225051
000336,BERT,0.8883195166675534
000316,BERT,1.1476869547162452
000403,BERT,0.2927710391414513
000355,PG,0.5533502792210931
000717,BERT,-0.736375359405443
